1а	0:pNGDAIL
2а	m:sNGDAIL m:pNGDAIL
2б	f:sNGDAIL f:pNGDAIL
2в	n:sNGDAIL n:pNGDAIL
2г	c:sNGDAIL c:pNGDAIL
4а	f:sN f:sNA f:sGDL f:sI
4а0	n:sN n:sNA n:sGDL n:sI
4б	f:sN f:sNA f:sGDL f:sI
4б0	n:sN n:sNA n:sGDL n:sI
4в	f:sN f:sNA f:sGDL f:sI
4г	f:sN f:sNA f:sGDL f:sI
4д	m:sN m:sNA m:sGDL m:sI
4е	m:sN m:sNA m:sGDL m:sI
4ж	n:sN n:sNGA n:sDL n:sI
4з	n:sN n:sNA n:sGDL n:sI
5subst_а	n:sN n:sNA n:sG n:sD n:sIL
5subst_б	0:pN 0:pNA 0:pGL 0:pD 0:pI
5subst_б0	0:pN 0:pN 0:pGAL 0:pD 0:pI
5subst_в	m:sN m:sN m:sGA m:sD m:sIL
5subst_в0	m:sN m:sN m:sGA m:sD m:sIL
5а	f:sN f:sNGA f:sD f:sI f:sL
5б	f:sN f:sNA f:sGDL f:sGDL f:sI
5в	f:sN f:sNA f:sGDL f:sI f:sI
5г	m:sN m:sNA m:sGD m:sI m:sL
5д	m:sN m:sNA m:sGD m:sI m:sL
5е	m:sN m:sNA m:sGD m:sI m:sL
5ж	m:sN m:sNA m:sGD m:sI m:sL
5з	m:sN m:sNA m:sGD m:sI m:sL
5и	m:sN m:sNA m:sG m:sDL m:sI
5к	m:sN m:sNA m:sG m:sDL m:sI
5л	m:sN m:sNA m:sGD m:sI m:sL
5м0	m:sN m:sN m:sG m:sDAL m:sI
5н0	m:sN m:sN m:sGA m:sDL m:sI
5о0	m:sN m:sN m:sGDL m:sA m:sI
5п	n:sN n:sNGA n:sD n:sI n:sL
5р	n:sN n:sNGA n:sD n:sI n:sL
5с	n:sN n:sNGA n:sD n:sI n:sL
5т	n:sN n:sNA n:sG n:sDL n:sI
5у	m:sN m:sNA m:sGDL m:sI m:sL
6subst_а	f:sN f:sN f:sGDIL f:sA f:sI f:sI
6subst_б	f:sN f:sN f:sGDIL f:sA f:sI f:sI
6а	f:sN f:sN f:sGDL f:sA f:sI f:sI
6б	f:sN f:sN f:sGDL f:sA f:sI f:sI
6в	f:sN f:sN f:sGDL f:sA f:sI f:sI
6г	f:sN f:sN f:sGDL f:sA f:sI f:sI
6д	f:sN f:sNA f:sGDL f:sI f:sI f:sI
6е	m:sN m:sNA m:sG m:sD m:sI m:sL
6е0	m:sN m:sN m:sGA m:sD m:sI m:sL
6ж	m:sN m:sNA m:sG m:sD m:sI m:sL
6з	m:sN m:sNA m:sG m:sD m:sI m:sL
6и	m:sN m:sNA m:sG m:sD m:sI m:sL
6к	m:sN m:sNA m:sG m:sD m:sI m:sL
6л	m:sN m:sNA m:sG m:sD m:sI m:sL
6м	n:sN n:sNA n:sG n:sD n:sI n:sL
6н	n:sN n:sNA n:sG n:sD n:sI n:sL
6о	n:sN n:sNA n:sG n:sD n:sI n:sL
6п	n:sN n:sNA n:sG n:sD n:sI n:sL
6р	0:pN 0:pNA 0:pG 0:pD 0:pI 0:pL
6р'	m:pN m:pNA m:pG m:pD m:pI m:pL
6с	0:pN 0:pNA 0:pG 0:pD 0:pI 0:pL
6т	0:pN 0:pNA 0:pG 0:pD 0:pI 0:pL
6у	0:pN 0:pNA 0:pG 0:pD 0:pI 0:pL
6ф	0:pN 0:pNA 0:pG 0:pD 0:pI 0:pL
6х	0:pN 0:pNA 0:pG 0:pD 0:pI 0:pL
6ц	0:pN 0:pNA 0:pG 0:pD 0:pI 0:pL
6ч	0:pN 0:pNA 0:pG 0:pD 0:pI 0:pL
6ш	0:pN 0:pN 0:pGA 0:pD 0:pI 0:pL
6щ	0:pN 0:pN 0:pGA 0:pD 0:pI 0:pL
6ъ	0:pN 0:pN 0:pGA 0:pD 0:pI 0:pL
6ы	0:pN 0:pN 0:pGA 0:pD 0:pI 0:pL
6ь	c:sN c:sN c:sGDL c:sA c:sI c:sI
6э	c:sN c:sN c:sGDL c:sA c:sI c:sI
6ю	m:sN m:sNA m:sGD m:sI m:sL m:sL
6я0	m:sN m:sNA m:sG m:sD m:sI m:sL
7а	f:sN f:sN f:sG f:sDL f:sA f:sI f:sI
7б	f:sN f:sN f:sG f:sDL f:sA f:sI f:sI
7в	f:sN f:sN f:sG f:sDL f:sA f:sI f:sI
7г	f:sN f:sN f:sG f:sDL f:sA f:sI f:sI
7д	f:sN f:sN f:sG f:sDL f:sA f:sI f:sI
7е	f:sN f:sN f:sG f:sDL f:sA f:sI f:sI
7ж	f:sN f:sN f:sG f:sDL f:sA f:sI f:sI
7з	m:sN m:sN m:sG m:sDL m:sA m:sI m:sI
