2а	Inf ips3
2б	Inf Inf
3а	Inf ips3 iasf|iasn
3б	Inf ips3 iasn
3в	Inf ipp3 iap
4а	Inf ips3 iasm iasf|iasn
4б	Inf ips3 iasf|iasn Part:pass
4в	Inf ips3 ipp3 iasf|iasn
5а	Inf ips3 ipp3 iasf|iasn iap
5б	Inf ips3 ipp3 iasm iap
5в	Inf ipp1 ipp2 ipp3 iap
6а	Inf ips3 ipp3 iasm iasf|iasn iap
6б	Inf ips3 iasm iasf|iasn iap Part:act|Adv
6в	Inf ipp1 ipp2 ipp3 mp2 iap
6г	Inf ipp1 ipp2 ipp3 iap Part:act|Adv
6д	Inf ips3 ipp3 iasf|iasn iap Part:act|Adv
7а	Inf ips3 ipp3 iasm iasf|iasn iap Part:act|Adv
7б	Inf ips3 ipp3 iasm iasf iasn iap
7в	Inf ips3 ipp3 iasm iasf|iasn iap Part:pass
7г	Inf ipp1 ipp2 ipp3 mp2 iap Part:act|Adv
8а	Inf ips3 ipp1 ipp2 ipp3 iasm iasf|iasn iap
8б	Inf ips3 ipp3 ips3 ipp3 iasm iasf|iasn iap
8в	Inf ips3 ipp3 iasm iasf iasn iap Part:act|Adv
8г	Inf ips3 ipp3 iasm iasf|iasn iap Part:pass Part:act|Adv
8д	Inf ips3 ipp3 ms2 mp2 iasm iasf|iasn iap
8е	Inf ips3 ipp3 iasm iasf iasn iap Part:pass
9а	Inf ips3 ipp1 ipp2 ipp3 iasm iasf|iasn iap Part:act|Adv
9б	Inf ips3 ipp1 ipp2 ipp3 mp2 iasm iasf|iasn iap
9в	Inf ips3 ipp1 ipp2 ipp3 iasm iasf iasn iap
9г	Inf ips3 ipp3 ms2 mp2 iasm iasf|iasn iap Part:act|Adv
10а	Inf ips3 ipp1 ipp2 ipp3 mp2 iasm iasf|iasn iap Part:act|Adv
10б	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 iasm iasf|iasn iap
11а	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 iasm iasf|iasn iap Part:act|Adv
12а	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 iasm iasf iasn iap Part:act|Adv
12б	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf|iasn iap
12в	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 iasm iasf|iasn iap Part:pass Part:act|Adv
12г	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 iasm iasf|iasn iap Part:act|Adv Part:act|Adv
12д	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 iasm iasf|iasn iap Part:act Part:act|Adv
13а	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf|iasn iap Part:act|Adv
13б	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf|iasn iap Part:pass
14а	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf|iasn iap Part:pass Part:act|Adv
14б	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf iasn iap Part:act|Adv
14в	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf|iasn iap Part:act|Adv Part:act|Adv
15а	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf|iasn iap Part:pass Part:act|Adv Part:act|Adv
15б	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf iasn iap Part:pass Part:act|Adv
15в	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf iasn iap Part:act|Adv Part:act|Adv
15г	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf|iasn iap Part:pass Part:pass Part:act|Adv
15д	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf|iasn iap Part:pass Part:pass Part:act|Adv
16а	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf|iasn iap Part:pass Part:pass Part:act|Adv Part:act|Adv
17а	Inf ips1 ips2 ips3 ipp1 ipp2 ipp3 ms2 mp2 iasm iasf|iasn iap Part:pass Part:pass Part:pass Part:act|Adv Part:act|Adv
